2.328577,0.062724,1.352,1.333
2.324358,0.06627,1.354,1.342
2.331244,0.062318,1.355,1.32
2.32742,0.065096,1.352,1.336
2.338124,0.060186,1.352,1.314
2.584196,0.019233,1.376,1.311
3.319477,-0.016183,1.38,1.317
4.573994,-0.367454,1.374,1.316
5.515188,-0.541026,1.348,1.309
6.376277,-0.682909,1.316,1.411
7.25176,-0.85778,1.503,1.605
8.170098,-0.776744,1.503,1.408
8.921823,-0.090614,1.511,1.357
9.249904,0.892224,1.466,1.33
9.388111,1.813157,1.543,1.351
9.571332,2.67208,1.58,1.319
9.766494,3.675004,1.555,1.367
9.898308,4.535715,1.522,1.365
10.097772,5.595316,1.406,1.382
10.223457,6.586747,4.612,1.441
10.286948,7.491472,5.323,2.316
9.977269,8.319886,3,3.837
9.170744,8.863701,2.173,3.189
8.263022,8.878496,1.631,2.036
7.556016,8.34997,1.279,1.603
7.230864,7.415068,1.332,1.541
6.969167,6.420647,1.32,1.55
6.790666,5.360533,1.327,2
6.612939,4.412646,1.983,3.105
6.084893,3.662298,1.841,2.097
5.16814,3.399517,1.825,1.994
4.223157,3.639708,1.821,2.016
3.224655,3.852554,1.853,1.984
2.353777,3.962452,2.26,2.505
1.413287,4.00528,1.777,2.423
0.719583,3.350407,1.707,2.2
0.405066,2.454423,3.822,2.001
0.207812,1.565961,1.683,2.099
0.599717,0.586392,5.905,1.251
1.260935,0.175011,1.383,1.321
2.322261,0.024909,1.344,1.356
3.404238,-0.123932,1.344,1.356
